# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACADM	ACADM	NM_001286043.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTB	ACTB	NM_001101.3		0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTG1	ACTG1	NM_001199954.1		0	1	0	5	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ACTN4	ACTN4	NM_004924.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR2	ACTR2	NM_001005386.2		0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ADCK5	ADCK5	NM_174922.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	ADGRA2	NM_032777.9		0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
AES	AES	NM_198969.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHNAK	AHNAK	NM_001620.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKR1B1	AKR1B1	NM_001628.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALPK2	ALPK2	NM_052947.3		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AMOTL1	AMOTL1	NM_130847.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ANXA5	ANXA5	NM_001154.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOA1BP	APOA1BP	NM_144772.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARF1	ARF1	NM_001024226.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARID4B	ARID4B	NM_001206794.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARMCX3	ARMCX3	NM_016607.3		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARSB	ARSB	NM_000046.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAH1	ASAH1	NM_004315.5		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPH	ASPH	NM_004318.3		1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
ATP5H	ATP5H	NM_006356.2		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ATP6AP2	ATP6AP2	NM_005765.2		0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATXN2	ATXN2	NM_002973.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
